,categoryName,watchTimes1,categoryName,watchTime_min,categoryRatio,channelTitle,watchTimes2,channelLink,language,lanCounts
82,,,,,,It’s Kim Tish,30,https://www.youtube.com/channel/UCbS5ReCyB8GQuGBGaAMAmNQ,,
83,,,,,,Caitlin Thexton,30,https://www.youtube.com/channel/UClhp9r6NXY_OecSPL_AOJcQ,,
84,,,,,,Luisa Calderas,30,https://www.youtube.com/channel/UCETCGyFuhVLNmnfwnPZE3AQ,,
85,,,,,,Nika Diwa,29,https://www.youtube.com/channel/UCLgfFZSlXoqXP9ffypynkew,,
86,,,,,,Dimple Malhan Vlogs,29,https://www.youtube.com/channel/UCHDQOZjxuSm0-LgLQtMeCqw,,
87,,,,,,Doro Cubillo,29,https://www.youtube.com/channel/UCSYMpUuuzE1xsPqAl3Yt8ag,,
88,,,,,,Sonal Devraj,28,https://www.youtube.com/channel/UC8kvJRi0g1Ef1cEPzHqpwnw,,
89,,,,,,Rare Beauty,28,https://www.youtube.com/channel/UCvOtsjwO04Seaep0J2clYEw,,
90,,,,,,Radio Nasha Official,28,https://www.youtube.com/channel/UCjCVgqkCRIPAj-mPsXee8sg,,
91,,,,,,Netflix India,28,https://www.youtube.com/channel/UCZSNzBgFub_WWil6TOTYwAg,,
92,,,,,,Learn with Jaspal,27,https://www.youtube.com/channel/UCU5eV0c0SE0TMXrV8P94jAQ,,
93,,,,,,Saif Shawaf Shorts,27,https://www.youtube.com/channel/UCi-fBPPC_Z8NU46084YROdA,,
94,,,,,,Niana Guerrero,26,https://www.youtube.com/channel/UCLysbxhOO_JPOPgcsPCMb8w,,
95,,,,,,Josh Otusanya,26,https://www.youtube.com/channel/UCT4iTe4eB9aRn2p3jRuGlDA,,
96,,,,,,Vishal Dadlani - Topic,26,https://www.youtube.com/channel/UCe223VU7Yb2pRFxMpHUdCvA,,
97,,,,,,blogilates,26,https://www.youtube.com/channel/UCIJwWYOfsCfz6PjxbONYXSg,,
98,,,,,,Alexis Kingsley,26,https://www.youtube.com/channel/UCZgNB0DO5AJ6awbw9tgiwoQ,,
99,,,,,,The Beverly Halls,25,https://www.youtube.com/channel/UCJl0idSupgyRNT9uKfS9bxA,,
100,,,,,,Natya Social,25,https://www.youtube.com/channel/UCeZt8fc_uxb5xi_Yc1UEvCA,,
101,,,,,,Isabell afro,25,https://www.youtube.com/channel/UCXzs4ZknZKageuV7uLUleVQ,,
102,,,,,,Jeffery Hu ,25,https://www.youtube.com/channel/UCEvthnNXQ2x_g1Q_OLtpF-g,,
103,,,,,,Akon - Topic,25,https://www.youtube.com/channel/UCRWV7T1N1UFFYsiiEAoUbFw,,
104,,,,,,Deepak Chauhan,25,https://www.youtube.com/channel/UCE0_oe1rW6S02f-6PIH0M0Q,,
105,,,,,,Celeb Buss Central,25,https://www.youtube.com/channel/UCxHJZx3_SBnYOuGotpWT-Tg,,
106,,,,,,Sony PAL,25,https://www.youtube.com/channel/UCw7xjxzbMwgBSmbeYwqYRMg,,
107,,,,,,arshfam,25,https://www.youtube.com/channel/UCYfng3FNFCbN1xpTBIs8FEA,,
108,,,,,,Aylen Park,24,https://www.youtube.com/channel/UCzQtGpWcgOyG0iCc-si1MWw,,
109,,,,,,Reeshabh Purohit,24,https://www.youtube.com/channel/UC-tJ-NDWpXQ_SqVT8uDGzYQ,,
110,,,,,,POPFLEX By Blogilates,24,https://www.youtube.com/channel/UCCxi8VvnkGR3YWceRI_KlSA,,
111,,,,,,♡ Victoria ♡,23,https://www.youtube.com/channel/UCTYR-anqHciYd8zx8npmf3g,,
112,,,,,,Sabrinaforu - Fan Channel,23,https://www.youtube.com/channel/UCAqCd1jsXxFutlUoCqTuMxQ,,
113,,,,,,The Script - Topic,23,https://www.youtube.com/channel/UCFGwp4FHyvU1pJv9w6Jcx8w,,
114,,,,,,Atif Aslam - Topic,23,https://www.youtube.com/channel/UCVGomUS__PL0c4jDXa0QwXA,,
115,,,,,,STYLUPAFRICA,23,https://www.youtube.com/channel/UCqpDvscgqbYRnpF0mZyiOFw,,
116,,,,,,Isha Borah,23,https://www.youtube.com/channel/UC8ew8wZduGItrTA5Ci1a3Fg,,
